Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Iran,2020-10-14,122,2021-07-19,S.N501,2021-06-14,278,False,0.02,487548,12005,10674.48
India,2020-10-14,3846,2021-10-31,S.N501,2021-06-14,382,False,0.01,716131,9576,89254.24
Slovenia,2020-10-17,8615,2021-08-17,S.N501,2021-06-17,304,False,0.02,20803,353,832.91
Switzerland,2020-10-23,21823,2021-11-10,S.N501,2021-06-23,383,False,0.01,68688,862,1607.5
Denmark,2020-10-26,63347,2021-10-25,S.N501,2021-06-26,364,False,0.01,93871,667,2549.93
Ireland,2020-10-28,16144,2021-09-08,S.N501,2021-06-28,315,False,0.01,36500,522,898.48
Portugal,2020-11-09,5135,2021-11-27,S.N501,2021-07-10,383,False,0.02,81240,1312,2097.34
Uganda,2020-11-09,37,2021-06-15,S.N501,2021-07-10,218,True,0.01,1333,10,130.12
Austria,2020-11-10,3800,2021-11-28,S.N501,2021-07-11,383,False,0.01,102491,1111,1626.91
Eswatini,2020-11-13,33,2021-07-09,S.N501,2021-07-14,238,True,0.03,1529,54,59.38
Georgia,2020-11-14,100,2021-08-09,S.N501,2021-07-15,268,False,0.01,28276,385,976.23
Saudi Arabia,2020-11-15,183,2021-06-11,S.N501,2021-07-16,208,True,0.02,198730,3231,474.61
Iceland,2020-11-21,581,2021-07-31,S.N501,2021-07-22,252,False,0.0,203,1,5.98
Botswana,2020-11-21,250,2021-11-23,S.N501,2021-07-22,367,False,0.01,11527,144,571.86
Malawi,2020-11-25,246,2021-06-21,S.N501,2021-07-26,208,True,0.03,3706,125,168.96
Japan,2020-11-29,47836,2021-10-05,S.N501,2021-07-30,310,False,0.01,161041,1676,4566.48
Belgium,2020-11-30,24188,2021-11-24,S.N501,2021-07-31,359,False,0.02,155030,2500,2366.21
Slovakia,2020-11-30,4595,2021-10-27,S.N501,2021-07-31,331,False,0.01,84366,1250,1837.82
Malaysia,2020-12-01,287,2021-11-05,S.N501,2021-08-01,339,False,0.01,49974,585,7265.38
Zambia,2020-12-01,191,2021-09-02,S.N501,2021-08-01,275,False,0.02,19890,348,708.28
Thailand,2020-12-05,1957,2021-10-18,S.N501,2021-08-05,317,False,0.01,143873,1471,5094.76
Mauritius,2020-12-06,8,2021-06-24,S.N501,2021-08-06,200,True,0.01,11,1,6.5
Argentina,2020-12-07,2660,2021-11-15,S.N501,2021-08-07,343,False,0.02,677304,14836,14006.69
Singapore,2020-12-08,394,2021-07-10,S.N501,2021-08-08,214,True,0.0,970,1,21.3
Norway,2020-12-09,14202,2021-10-08,S.N501,2021-08-09,303,False,0.0,20904,95,470.98
Turkey,2020-12-09,7836,2021-11-10,S.N501,2021-08-09,336,False,0.01,365298,3195,19126.44
Philippines,2020-12-10,5767,2021-08-30,S.N501,2021-08-10,263,False,0.02,248708,4195,5812.52
Albania,2020-12-10,29,2021-07-13,S.N501,2021-08-10,215,True,0.02,18401,341,435.42
Ghana,2020-12-10,375,2021-05-21,S.N501,2021-08-10,162,True,0.01,6085,51,314.34
Barbados,2020-12-12,52,2021-07-25,S.N501,2021-08-12,225,True,0.01,635,8,18.8
Bulgaria,2020-12-13,3070,2021-09-30,S.N501,2021-08-13,291,False,0.04,47971,1995,1103.66
South Korea,2020-12-14,873,2021-09-21,S.N501,2021-08-14,281,False,0.01,5983,50,745.17
Dominica,2020-12-16,5,2021-04-01,S.N501,2021-08-16,106,True,0.0,29,0,0.79
Lesotho,2020-12-16,15,2021-01-18,S.N501,2021-08-16,33,True,0.01,1210,18,146.33
